company_name,date,edu_req,hiring,job_name,viewed,wages,work_exp,work_place
贵州馥远茶业有限公司, 2021-12-28,本科,1,销售总监,本职位累积查看：636 次,70000--300000  年薪,5年以上,贵州-安顺市-关岭布依族苗族自治县
中铁贵州旅游文化发展有限公司, 2021-12-28,大专,若干,客服管家[只招应届毕业生],本职位累积查看：3674 次,4000--6000  月薪,不限,贵州-贵阳市
广州天力物业发展有限公司贵阳分公司, 2021-12-28,本科,1,副总经理,本职位累积查看：9386 次,180000--250000  年薪,10年以上,贵州-贵阳市-观山湖区
贵州天诚卓越建筑工程有限公司, 2021-12-28,不限,若干,寻贵州省内八大员各专业 兼职挂,本职位累积查看：456 次,1000--10000  月薪,不限,贵州-六盘水市
中牌工程项目管理有限公司, 2021-12-28,大专,1,工程物探师（中级职称）,本职位累积查看：352 次,200000--300000  年薪,10年,贵州-贵阳市-云岩区
北京中天华资产评估有限责任公司贵州分公司, 2021-12-28,本科,2,资产评估师,本职位累积查看：1382 次,120000--200000  年薪,不限,贵州-贵阳市-观山湖区
富德生命人寿保险股份有限公司贵州分公司, 2021-12-28,本科,1,培训讲师岗,本职位累积查看：89 次,4000--6000  月薪,1-3 年,贵州-贵阳市-云岩区
泰康人寿贵阳本部, 2021-12-28,不限,5,保险内勤,本职位累积查看：1562 次,5000--10000  月薪,1年以上,贵州-贵阳市-云岩区
阳光财产保险股份有限公司贵阳中心支公司, 2021-12-28,不限,若干,话务专员（法定假日双休）,本职位累积查看：1179 次,4000--8000  月薪,不限,贵州-六盘水市-钟山区
阳光财产保险股份有限公司贵阳中心支公司, 2021-12-28,不限,若干,续保专员,本职位累积查看：1121 次,4000--8000  月薪,不限,贵州-安顺市-西秀区
交通银行信用卡中心贵阳分中心, 2021-12-28,大专,1,开阳县交行信用卡业务员,本职位累积查看：924 次,5000--10000  月薪,不限,贵州-贵阳市-开阳县
贵州初好农业科技开发有限公司, 2021-12-28,不限,1,电商运营专员,本职位累积查看：292 次,4800--6000  月薪,1年以上,贵州-六盘水市-水城县
贵州天诚卓越建筑工程有限公司, 2021-12-28,不限,若干,我单位寻二级建造师房建市政公路机电水利等专业兼职,本职位累积查看：698 次,10000--30000  月薪,不限,贵州-贵阳市
华安财产保险股份有限公司贵州分公司（高校）, 2021-12-28,不限,若干,非车险核赔,本职位累积查看：205 次,4000--6000  月薪,不限,贵州-贵阳市-云岩区
贵州菁瑞健身管理有限公司, 2021-12-28,不限,5,搏击教练,本职位累积查看：422 次,8000--16000  月薪,不限,贵州-六盘水市-钟山区
贵州麒龙房地产开发集团有限公司, 2021-12-28,不限,2,行政驾驶员,本职位累积查看：4053 次,面议,3年以上,贵州-贵阳市-观山湖区
中牌工程项目管理有限公司, 2021-12-28,不限,1,高薪 诚聘行政一名,本职位累积查看：276 次,3500--4500  月薪,2-3 年,贵州-贵阳市-云岩区
贵州百灵企业集团和仁堂药业有限公司, 2021-12-28,初中,1,物料员,本职位累积查看：798 次,3000--4000  月薪,1年以下,贵州-贵阳市-修文县
贵州广辉建设（集团）有限公司, 2021-12-28,不限,1,经营部副经理,本职位累积查看：879 次,8000--10000  月薪,不限,贵州-贵阳市-白云区
贵州溪云数智生物科技有限公司, 2021-12-28,初中,1,焊工,本职位累积查看：1219 次,5500--6000  月薪,3-5 年,贵州-贵阳市-花溪区
贵州工商职业学院, 2021-12-28,本科,1,教务专员,本职位累积查看：95 次,面议,不限,广东-广州市-南沙区
百胜餐饮（成都）有限公司贵州分公司, 2021-12-28,大专,若干,肯德基/必胜客餐厅储备经理见习生,本职位累积查看：323 次,3850--5000  月薪,不限,贵州-贵阳市
贵州鑫新实业控股集团有限责任公司, 2021-12-28,不限,6,测控技术与仪表专业应届毕业生,本职位累积查看：722 次,4000--6000  月薪,不限,贵州-贵阳市-开阳县
贵州鑫新实业控股集团有限责任公司, 2021-12-28,本科,3,仪表自控技术员,本职位累积查看：288 次,6000--9000  月薪,1-3 年,贵州-贵阳市-开阳县
一览网络技术部, 2021-12-28,不限,若干,测试工程师1,本职位累积查看：355 次,2000--3000  月薪,不限,广东-深圳市-罗湖区
安禾土地资源开发有限公司, 2021-12-28,本科,5,土地整治、高标设计项目负责人,本职位累积查看：77 次,50000--150000  年薪,2-20 年,贵州-贵阳市-云岩区
贵州省开投建设工程有限公司, 2021-12-28,不限,2,房建技术负责人,本职位累积查看：5658 次,10000--20000  月薪,8-10 年,贵州-贵阳市-观山湖区
贵州博润投资（控股）股份有限公司, 2021-12-28,本科,1,招聘专员,本职位累积查看：441 次,5000--8000  月薪,2-6 年,贵州-贵阳市-南明区
贵州博润投资（控股）股份有限公司, 2021-12-28,不限,若干,农业建设工程部经理（毕节地区）,本职位累积查看：370 次,10000--15000  月薪,不限,贵州-毕节地区
天尚设计集团有限公司, 2021-12-28,本科,1,行政、人事文员,本职位累积查看：13794 次,面议,不限,贵州-贵阳市-观山湖区
贵州鑫新实业控股集团有限责任公司, 2021-12-28,本科,3,仪表自控技术主办,本职位累积查看：299 次,9000--11000  月薪,3-5 年,贵州-贵阳市-开阳县
贵州博润投资（控股）股份有限公司, 2021-12-28,本科,1,法务经理/主管,本职位累积查看：660 次,15000--25000  月薪,5年以上,贵州-贵阳市-南明区
贵州菁瑞健身管理有限公司, 2021-12-28,不限,8,健身学徒包住宿,本职位累积查看：835 次,4000--6000  月薪,不限,贵州-遵义市-仁怀市
解放军第九二五医院, 2021-12-28,本科,2,医学影像技师,本职位累积查看：538 次,1800--10000  月薪,不限,贵州-贵阳市-花溪区
